date,season,acousticness,danceability,duration,energy,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
4/26/2014,0,0.274946,0.594854,232.09490699999998,0.5841974,7.5,0.3450284,-10.206900000000001,0.7,0.1500109,123.44000000000001,4,0.4897173
4/19/2014,0,0.274946,0.594854,232.09490699999998,0.5841974000000001,7.5,0.3450284,-10.206900000000001,0.7,0.1500109,123.43999999999998,4,0.48971729999999997
4/12/2014,0,0.274946,0.594854,232.09490699999998,0.5841974000000001,7.5,0.3450284,-10.206900000000001,0.7,0.1500109,123.43999999999998,4,0.48971729999999997
4/5/2014,0,0.2758052000000001,0.5729263,246.55048899999997,0.6042966,7.1,0.3548025,-8.986600000000001,0.6,0.1254888,127.43199999999999,4,0.5075647
3/29/2014,0,0.3725992000000001,0.5479909999999999,227.79848899999996,0.5270931999999999,7.7,0.31353939999999997,-10.256700000000002,0.6,0.12439819999999999,128.77550000000002,4,0.4988423
3/22/2014,0,0.27495830000000004,0.5923948000000001,243.27448899999996,0.6211547000000001,7.1,0.373073,-8.7581,0.7,0.12690669999999998,123.19749999999999,4,0.5259416
3/15/2014,0,0.36018100000000003,0.5751078,231.50515599999994,0.5418951000000001,7.2,0.32871759999999994,-9.366,0.7,0.1254621,124.1587,3.9,0.5155224999999999
3/8/2014,0,0.36018100000000003,0.5751078,231.505156,0.5418951000000001,7.2,0.32871759999999994,-9.366,0.7,0.1254621,124.1587,3.9,0.5155225
3/1/2014,0,0.3536492,0.5858897000000001,230.787378,0.5199774,7.1,0.37459370000000003,-10.961400000000001,0.7,0.1290102,119.3939,4,0.5129211999999999
2/22/2014,0,0.35364920000000005,0.5858897,230.787378,0.5199773999999999,7.1,0.37459370000000003,-10.961400000000001,0.7,0.1290102,119.3939,4,0.5129212
2/15/2014,0,0.2728272,0.5893515,234.05095599999999,0.5230391000000001,6.2,0.37965669999999996,-11.1709,0.7,0.12613069999999998,114.97940000000001,4,0.47728480000000006
2/8/2014,0,0.3441944,0.6121858,231.57905599999998,0.4605791000000001,7,0.3507329,-13.276900000000001,0.9,0.1507209,108.92759999999998,4,0.4540392
2/1/2014,0,0.35802100000000003,0.6300874999999999,239.60657099999997,0.4194147000000001,6.2,0.30065149999999996,-14.379900000000001,1,0.1215069,115.08879999999999,4,0.40529289999999996
1/25/2014,0,0.25293850000000007,0.6062118,251.40901100000002,0.49981859999999995,4.9,0.3011214,-12.4539,0.9,0.10683150000000001,117.18730000000001,4,0.3897734
1/18/2014,0,0.2631517,0.5985785000000001,251.517011,0.48583479999999996,5.1,0.28521420000000003,-12.4052,0.9,0.10769150000000001,117.061,4,0.38259879999999996
1/11/2014,0,0.21921569999999999,0.5750937,249.282852,0.5429306,5.3,0.25903970000000004,-11.2003,0.9,0.0843157,122.36179999999999,4,0.3539076
1/4/2014,0,0.25071469999999996,0.5917662000000001,254.80503399999998,0.486095,4.8,0.2419813,-12.371600000000003,0.9,0.08559939999999999,115.9648,4,0.3583795
12/28/2013,0,0.25071469999999996,0.5917662000000001,254.80503399999998,0.4860949999999999,4.8,0.2419813,-12.3716,0.9,0.08559939999999999,115.9648,4,0.35837949999999996
12/21/2013,0,0.22943639999999998,0.6096671,251.878852,0.4837410999999999,5.1,0.2239331,-11.659600000000001,0.8,0.091469,113.86410000000001,4,0.361616
12/14/2013,0,0.1647401,0.574765,248.92917900000003,0.5615433999999999,5.1,0.20979230000000001,-10.5846,0.9,0.0829878,126.73210000000002,3.9,0.3423748
12/7/2013,0,0.1446404,0.5994761,249.133518,0.5528591,5.9,0.2419247,-11.0641,0.8,0.0921989,118.274,4.1,0.3669478
11/30/2013,0,0.06096999999999999,0.6134413000000001,244.44299699999996,0.6039410000000001,5.9,0.19101629999999997,-9.9513,0.7,0.0908464,124.6629,4,0.41234149999999997
11/23/2013,0,0.12560500000000002,0.5884554000000001,248.78833,0.5486262,5.1,0.15374349999999998,-10.215399999999999,0.7,0.0838719,124.4432,4,0.3526059
11/16/2013,0,0.0800921,0.6144450000000001,252.42384500000003,0.5458639,5.1,0.17084459999999999,-11.183199999999998,0.7,0.084993,123.76789999999998,4,0.3616863
11/9/2013,0,0.06718139999999999,0.6221377,241.089995,0.526408,6,0.20173899999999997,-11.708899999999998,0.7,0.0730186,120.71420000000003,4,0.3595973
11/2/2013,0,0.10622029999999998,0.6546087,252.475742,0.485255,6.5,0.2343036,-12.294,0.8,0.099382,122.1309,4,0.4434831999999999
10/26/2013,1,0.0674731,0.6359978999999999,247.628431,0.48838729999999997,5.9,0.1804018,-12.5183,0.7,0.077176,120.1188,4,0.38665600000000006
10/19/2013,1,0.0674731,0.6359978999999999,247.62843099999995,0.48838729999999997,5.9,0.1804018,-12.5183,0.7,0.077176,120.1188,4,0.386656
10/12/2013,1,0.0674731,0.6359979000000001,247.628431,0.48838729999999997,5.9,0.1804018,-12.5183,0.7,0.077176,120.1188,4,0.386656
10/5/2013,1,0.0588888,0.6286695000000001,247.249188,0.5093650999999999,5.7,0.13981879999999997,-12.3629,0.6,0.08053809999999999,119.11359999999999,4.1,0.4116385
9/28/2013,1,0.0613147,0.6364703,251.20918799999998,0.510162,5.4,0.1373422,-11.9966,0.6,0.11337090000000001,116.8187,4,0.3779796
9/21/2013,1,0.029382399999999996,0.646321,247.94514200000003,0.5589012,5.8,0.13685009999999997,-11.8445,0.5,0.11671209999999999,116.63899999999998,4.1,0.4450533
9/14/2013,1,0.039017500000000004,0.6059514,249.911324,0.5467103000000001,4.6,0.19240369999999998,-12.261200000000002,0.6,0.11969910000000002,124.4088,4,0.409461
